id,product,price_eur,lookup_key,url,active,created,allow_promo,discount,duplicated_from
plink_1SF4a1AYh6QHq4iYAb0E32Tp,"Dipl. Humanenergetik",1124.50,"humanenergetiker_50off",https://checkout.institut-sitya.at/b/28E00i2Lk4PH8lB7K30x223,true,unbekannt,Nein,50%,plink_1SF4G3AYh6QHq4iYnAS5TpRp
plink_1SF4ZzAYh6QHq4iYv1Iza4R8,"Dipl. Tierenergetik",1124.50,"tierenergetiker_50off",https://checkout.institut-sitya.at/b/28E9ASgCa0zrcBRc0j0x222,true,unbekannt,Nein,50%,plink_1SF4G4AYh6QHq4iYzDGBNZ7t
plink_1SF4ZyAYh6QHq4iYXJR95OLg,"Basisvtialcoach für Tiere",324.50,"tierenergetiker-basis_50off",https://checkout.institut-sitya.at/b/00w8wOdpYaa18lB4xR0x221,true,unbekannt,Nein,50%,plink_1SF4G6AYh6QHq4iYoox9LSeK
plink_1SF4ZxAYh6QHq4iYFhoKQbsz,"Vitalcoach für Hunde",324.50,"tierenergetiker-hund_50off",https://checkout.institut-sitya.at/b/5kQ5kCdpYfulbxN6FZ0x220,true,unbekannt,Nein,50%,plink_1SF4G7AYh6QHq4iYeqgXtva4
plink_1SF4ZvAYh6QHq4iYNBtB8xB3,"Vitalcoach für Katzen",324.50,"tierenergetiker-katze_50off",https://checkout.institut-sitya.at/b/8x24gy5Xw2HzatJ4xR0x21Z,true,unbekannt,Nein,50%,plink_1SF4G8AYh6QHq4iYl1hH3eCC
plink_1SF4ZuAYh6QHq4iYBuEfYhCx,"Dipl. Bachblütenberatung für Hunde",324.50,"bachbluetenhunde_50off",https://checkout.institut-sitya.at/b/4gM9ASadMbe59pF5BV0x21Y,true,unbekannt,Nein,50%,plink_1SF4G9AYh6QHq4iYSmMWcbmk
plink_1SF4ZtAYh6QHq4iYnTdeD3Wx,"Vitalcoach für Pferde",324.50,"tierenergetiker-pferd_50off",https://checkout.institut-sitya.at/b/bJebJ085E4PHatJ6FZ0x21X,true,unbekannt,Nein,50%,plink_1SF4GBAYh6QHq4iYLUUbFHzg
plink_1SF4ZsAYh6QHq4iYZ62AzmTd,"Dipl. Farbenergetik",874.50,"farbtherapie_50off",https://checkout.institut-sitya.at/b/00w3cu1Hg4PH45l3tN0x21W,true,unbekannt,Nein,50%,plink_1SF4GCAYh6QHq4iYNFd9AUQQ
plink_1SF4ZrAYh6QHq4iYKnUATlIw,"Dipl. Kinesiologie",874.50,"kinesiologie_50off",https://checkout.institut-sitya.at/b/eVqaEWfy6gypfO36FZ0x21V,true,unbekannt,Nein,50%,plink_1SF4GDAYh6QHq4iYujYcSvQ9
plink_1SF4ZpAYh6QHq4iYI6ji0k26,"Dipl. Aromaberatung",324.50,"aromaberater_50off",https://checkout.institut-sitya.at/b/14AcN4gCadmd8lBggz0x21U,true,unbekannt,Nein,50%,plink_1SF4GFAYh6QHq4iYTmi5Z5Bt
plink_1SF4ZoAYh6QHq4iYRq3Qy7lp,"Dipl. Bachblütenberatung",324.50,"bachbluetenberater_50off",https://checkout.institut-sitya.at/b/8x2bJ0dpYgyp7hx4xR0x21T,true,unbekannt,Nein,50%,plink_1SF4GGAYh6QHq4iYrSTllAYh
plink_1SF4ZnAYh6QHq4iYS7Tei82N,"Dipl. Klangenergetik",324.50,"klangenergetiker_50off",https://checkout.institut-sitya.at/b/28EbJ0gCaci9atJ0hB0x21S,true,unbekannt,Nein,50%,plink_1SF4GHAYh6QHq4iYRuAcPbnu
plink_1SF4ZlAYh6QHq4iYzM1L0HBK,"Dipl. Praktikum für Schamanische Rituale",174.50,"schamanische-rituale_50off",https://checkout.institut-sitya.at/b/5kQaEWadM81T59p9Sb0x21R,true,unbekannt,Nein,50%,plink_1SF4GIAYh6QHq4iYKCIDsm3v
plink_1SF4ZkAYh6QHq4iY8XWlXruw,"Dipl. Fachberatung für Räuchermischungen",174.50,"fachberater-raeuchermischungen_50off",https://checkout.institut-sitya.at/b/bJefZgadM0zreJZe8r0x21Q,true,unbekannt,Nein,50%,plink_1SF4GKAYh6QHq4iYoLzZJqK2
plink_1SF4ZjAYh6QHq4iYBSIvxvoa,"Dipl. Feng Shui Pflanzenberatung für Innenräume",174.50,"feng-shui-pflanzenberatung_50off",https://checkout.institut-sitya.at/b/aFa14madMaa1fO30hB0x21P,true,unbekannt,Nein,50%,plink_1SF4GLAYh6QHq4iYlZvTenar
plink_1SF4ZiAYh6QHq4iY3PpPI2vZ,"Dipl. Mentaltraining",874.50,"mentaltrainer_50off",https://checkout.institut-sitya.at/b/7sY28q85E1Dv59p0hB0x21O,true,unbekannt,Nein,50%,plink_1SF4GMAYh6QHq4iYvDW4aMFN
plink_1SF4ZgAYh6QHq4iYrL6mNTeo,"Dipl. Natur- und Erlebnispädagogik",874.50,"naturunderlebnispaedagoge_50off",https://checkout.institut-sitya.at/b/28EbJ0gCa2Hz8lB5BV0x21N,true,unbekannt,Nein,50%,plink_1SF4GNAYh6QHq4iYeQAPv9kE
plink_1SF4ZfAYh6QHq4iY426l4tyC,"Dipl. Achtsamkeitstraining",874.50,"achtsamkeitstrainer_50off",https://checkout.institut-sitya.at/b/00w4gygCa1DvdFVaWf0x21M,true,unbekannt,Nein,50%,plink_1SF4GPAYh6QHq4iYqbEs9YUw
plink_1SF4ZeAYh6QHq4iYVZl7DPi9,"Dipl. Resilienztraining",874.50,"resilienztrainer_50off",https://checkout.institut-sitya.at/b/4gMfZgbhQ2Hz45l0hB0x21L,true,unbekannt,Nein,50%,plink_1SF4GQAYh6QHq4iY9Ciiubkf
plink_1SF4ZdAYh6QHq4iYXWIcXFYf,"Dipl. Fachpraktikum für Shinrin Yoku (Waldbaden)",174.50,"fachpraktikum-shinrin-yoku_50off",https://checkout.institut-sitya.at/b/fZu14m0Dc4PH45l8O70x21K,true,unbekannt,Nein,50%,plink_1SF4GRAYh6QHq4iYtTt7Vk5x
plink_1SF4ZbAYh6QHq4iYuSNZEUQv,"Dipl. Ernährungstraining",874.50,"ernaehrungstrainer_50off",https://checkout.institut-sitya.at/b/aFa9AS2Lk81TfO34xR0x21J,true,unbekannt,Nein,50%,plink_1SF4GTAYh6QHq4iY0rncw33g
plink_1SF4ZaAYh6QHq4iYrGNG37ov,"Dipl. TCM Ernährungstraining",174.50,"tcm-ernaehrungstraining_50off",https://checkout.institut-sitya.at/b/7sYeVcgCa0zr8lBd4n0x21I,true,unbekannt,Nein,50%,plink_1SF4GUAYh6QHq4iY1wuUyyOQ
plink_1SF4ZZAYh6QHq4iYgxgiQDLs,"Dipl. Ayurvedisches Ernährungstraining",174.50,"ayurveda-ernaehrungstraining_50off",https://checkout.institut-sitya.at/b/9B63cu1Hg95XeJZe8r0x21H,true,unbekannt,Nein,50%,plink_1SF4GVAYh6QHq4iYKNx1dyUO
plink_1SF4ZYAYh6QHq4iYKpW8CLHz,"Dipl. Kräuterpädagogik",874.50,"kraeuterpaedagoge_50off",https://checkout.institut-sitya.at/b/eVqcN4dpY95X0T97K30x21G,true,unbekannt,Nein,50%,plink_1SF4GXAYh6QHq4iYhnI9bl2n
plink_1SF4ZWAYh6QHq4iYAIjivhBN,"Dipl. Wildkräuter Praktikerin",174.50,"wildkraeuter-praktiker_50off",https://checkout.institut-sitya.at/b/00wcN471AfulbxN5BV0x21F,true,unbekannt,Nein,50%,plink_1SF4GYAYh6QHq4iYO8fblHOH
plink_1SF4ZVAYh6QHq4iYr1OWaHTr,"Dipl. Knospenkunde",874.50,"knospenkunde_50off",https://checkout.institut-sitya.at/b/3cI6oG3Po2HzcBRfcv0x21E,true,unbekannt,Nein,50%,plink_1SF4GZAYh6QHq4iYmbyAdXjW
plink_1SF4ZUAYh6QHq4iY1KJ3qbfk,"Dipl. Ayurveda Kräuterspezialistin Ashwagandha",174.50,"ayurveda-kraueterspezialist_50off",https://checkout.institut-sitya.at/b/6oUdR8clU5TL8lB2pJ0x21D,true,unbekannt,Nein,50%,plink_1SF4GaAYh6QHq4iY9tgTSNy6
